type,diagnosis_code,diagnosis_description
icd10,A71,Trachoma
icd10,A74,Other diseases caused by chlamydiae
icd10,A75,Typhus fever
icd10,A77,Spotted fever [tick-borne rickettsioses]
icd10,A78,Q fever
icd10,A79,Other rickettsioses
icd10,A80,Acute poliomyelitis
icd10,A81,Atypical virus infections of central nervous system
icd10,A82,Rabies
icd10,A83,Mosquito-borne viral encephalitis
icd10,A84,Tick-borne viral encephalitis
icd10,A85,"Other viral encephalitis, not elsewhere classified"
icd10,A86,Unspecified viral encephalitis
icd10,A87,Viral meningitis
icd10,A88,"Other viral infections of central nervous system, not elsewhere classified"
icd10,A89,Unspecified viral infection of central nervous system
icd10,A90,Dengue fever [classical dengue]
icd10,A91,Dengue haemorrhagic fever
icd10,A92,Other mosquito-borne viral fevers
icd10,A93,"Other arthropod-borne viral fevers, not elsewhere classified"
icd10,A94,Unspecified arthropod-borne viral fever
icd10,A95,Yellow fever
icd10,A96,Arenaviral haemorrhagic fever
icd10,A97,Dengue
icd10,A98,"Other viral haemorrhagic fevers, not elsewhere classified"
icd10,A99,Unspecified viral haemorrhagic fever
icd10,B00,Herpesviral [herpes simplex] infections
icd10,B01,Varicella [chickenpox]
icd10,B02,Zoster [herpes zoster]
icd10,B03,Smallpox
icd10,B04,Monkeypox
icd10,B05,Measles
icd10,B06,Rubella [German measles]
icd10,B07,Viral warts
icd10,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
icd10,B09,Unspecified viral infection characterized by skin and mucous membrane lesions
icd10,B15,Acute hepatitis A
icd10,B16,Acute hepatitis B
icd10,B17,Other acute viral hepatitis
icd10,B18,Chronic viral hepatitis
icd10,B19,Unspecified viral hepatitis
icd10,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
icd10,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
icd10,B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases
icd10,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions
icd10,B24,Unspecified human immunodeficiency virus [HIV] disease
icd10,B25,Cytomegaloviral disease
icd10,B26,Mumps
icd10,B27,Infectious mononucleosis
icd10,B30,Viral conjunctivitis
icd10,B33,"Other viral diseases, not elsewhere classified"
icd10,B34,Viral infection of unspecified site
icd10,B35,Dermatophytosis
icd10,B36,Other superficial mycoses
icd10,B37,Candidiasis
icd10,B38,Coccidioidomycosis
icd10,B39,Histoplasmosis
icd10,B40,Blastomycosis
icd10,B41,Paracoccidioidomycosis
icd10,B42,Sporotrichosis
icd10,B43,Chromomycosis and phaeomycotic abscess
icd10,B44,Aspergillosis
icd10,B45,Cryptococcosis
icd10,B46,Zygomycosis
icd10,B47,Mycetoma
icd10,B48,"Other mycoses, not elsewhere classified"
icd10,B49,Unspecified mycosis
icd10,B50,Plasmodium falciparum malaria
icd10,B51,Plasmodium vivax malaria
icd10,B52,Plasmodium malariae malaria
icd10,B53,Other parasitologically confirmed malaria
icd10,B54,Unspecified malaria
icd10,B55,Leishmaniasis
icd10,B56,African trypanosomiasis
icd10,B57,Chagas disease
icd10,B58,Toxoplasmosis
icd10,B59,Pneumocystosis
icd10,B60,"Other protozoal diseases, not elsewhere classified"
icd10,B64,Unspecified protozoal disease
icd10,B65,Schistosomiasis [bilharziasis]
icd10,B66,Other fluke infections
icd10,B67,Echinococcosis
icd10,B68,Taeniasis
icd10,B69,Cysticercosis
icd10,B70,Diphyllobothriasis and sparganosis
icd10,B71,Other cestode infections
icd10,B72,Dracunculiasis
icd10,B73,Onchocerciasis
icd10,B74,Filariasis
icd10,B75,Trichinellosis
icd10,B76,Hookworm diseases
icd10,B77,Ascariasis
icd10,B78,Strongyloidiasis
icd10,B79,Trichuriasis
icd10,B80,Enterobiasis
icd10,B81,"Other intestinal helminthiases, not elsewhere classified"
icd10,B82,Unspecified intestinal parasitism
icd10,B83,Other helminthiases
icd10,B85,Pediculosis and phthiriasis
icd10,B86,Scabies
icd10,B87,Myiasis
icd10,B88,Other infestations
icd10,B89,Unspecified parasitic disease
icd10,B90,Sequelae of tuberculosis
icd10,B91,Sequelae of poliomyelitis
icd10,B92,Sequelae of leprosy
icd10,B94,Sequelae of other and unspecified infectious and parasitic diseases
icd10,B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters
icd10,B96,Other specified bacterial agents as the cause of diseases classified to other chapters
icd10,B97,Viral agents as the cause of diseases classified to other chapters
icd10,B98,Other specified infectious agents as the cause of diseases classified to other chapters
icd10,B99,Other and unspecified infectious diseases
icd10,C00,Malignant neoplasm of lip
icd10,C01,Malignant neoplasm of base of tongue
icd10,C02,Malignant neoplasm of other and unspecified parts of tongue
icd10,C03,Malignant neoplasm of gum
icd10,C04,Malignant neoplasm of floor of mouth
icd10,C05,Malignant neoplasm of palate
icd10,C06,Malignant neoplasm of other and unspecified parts of mouth
icd10,C07,Malignant neoplasm of parotid gland
icd10,C08,Malignant neoplasm of other and unspecified major salivary glands
icd10,C09,Malignant neoplasm of tonsil
icd10,C10,Malignant neoplasm of oropharynx
icd10,C11,Malignant neoplasm of nasopharynx
icd10,C12,Malignant neoplasm of piriform sinus
icd10,C13,Malignant neoplasm of hypopharynx
icd10,C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
icd10,C15,Malignant neoplasm of oesophagus
icd10,C16,Malignant neoplasm of stomach
icd10,C17,Malignant neoplasm of small intestine
icd10,C18,Malignant neoplasm of colon
icd10,C19,Malignant neoplasm of rectosigmoid junction
icd10,C20,Malignant neoplasm of rectum
icd10,C21,Malignant neoplasm of anus and anal canal
icd10,C22,Malignant neoplasm of liver and intrahepatic bile ducts
icd10,C23,Malignant neoplasm of gallbladder
icd10,C24,Malignant neoplasm of other and unspecified parts of biliary tract
icd10,C25,Malignant neoplasm of pancreas
icd10,C26,Malignant neoplasm of other and ill-defined digestive organs
icd10,C30,Malignant neoplasm of nasal cavity and middle ear
icd10,C31,Malignant neoplasm of accessory sinuses
icd10,C32,Malignant neoplasm of larynx
icd10,C33,Malignant neoplasm of trachea
icd10,C34,Malignant neoplasm of bronchus and lung
icd10,C37,Malignant neoplasm of thymus
icd10,C38,"Malignant neoplasm of heart, mediastinum and pleura"
icd10,C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
icd10,C40,Malignant neoplasm of bone and articular cartilage of limbs
icd10,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
icd10,C43,Malignant melanoma of skin
icd10,C44,Other malignant neoplasms of skin
icd10,C45,Mesothelioma
icd10,C46,Kaposi sarcoma
icd10,C47,Malignant neoplasm of peripheral nerves and autonomic nervous system
icd10,C48,Malignant neoplasm of retroperitoneum and peritoneum
icd10,C49,Malignant neoplasm of other connective and soft tissue
icd10,C50,Malignant neoplasm of breast
icd10,C51,Malignant neoplasm of vulva
icd10,C52,Malignant neoplasm of vagina
icd10,C53,Malignant neoplasm of cervix uteri
icd10,C54,Malignant neoplasm of corpus uteri
icd10,C55,"Malignant neoplasm of uterus, part unspecified"
icd10,C56,Malignant neoplasm of ovary
icd10,C57,Malignant neoplasm of other and unspecified female genital organs
icd10,C58,Malignant neoplasm of placenta
icd10,C60,Malignant neoplasm of penis
icd10,C61,Malignant neoplasm of prostate
icd10,C62,Malignant neoplasm of testis
icd10,C63,Malignant neoplasm of other and unspecified male genital organs
icd10,C64,"Malignant neoplasm of kidney, except renal pelvis"
icd10,C65,Malignant neoplasm of renal pelvis
icd10,C66,Malignant neoplasm of ureter
icd10,C67,Malignant neoplasm of bladder
icd10,C68,Malignant neoplasm of other and unspecified urinary organs
icd10,C69,Malignant neoplasm of eye and adnexa
icd10,C70,Malignant neoplasm of meninges
icd10,C71,Malignant neoplasm of brain
icd10,C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
icd10,C73,Malignant neoplasm of thyroid gland
icd10,C74,Malignant neoplasm of adrenal gland
icd10,C75,Malignant neoplasm of other endocrine glands and related structures
icd10,C76,Malignant neoplasm of other and ill-defined sites
icd10,C77,Secondary and unspecified malignant neoplasm of lymph nodes
icd10,C78,Secondary malignant neoplasm of respiratory and digestive organs
icd10,C79,Secondary malignant neoplasm of other and unspecified sites
icd10,C80,Malignant neoplasm without specification of site
icd10,C81,Hodgkin lymphoma
icd10,C82,Follicular lymphoma
icd10,C83,Non-follicular lymphoma
icd10,C84,Mature T/NK-cell lymphomas
icd10,C85,Other and unspecified types of non-Hodgkin lymphoma
icd10,C86,Other specified types of T/NK-cell lymphoma
icd10,C88,Malignant immunoproliferative diseases
icd10,C90,Multiple myeloma and malignant plasma cell neoplasms
icd10,C91,Lymphoid leukaemia
icd10,C92,Myeloid leukaemia
icd10,C93,Monocytic leukaemia
icd10,C94,Other leukaemias of specified cell type
icd10,C95,Leukaemia of unspecified cell type
icd10,C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue"
icd10,C97,Malignant neoplasms of independent (primary) multiple sites
icd10,D00,"Carcinoma in situ of oral cavity, oesophagus and stomach"
icd10,D01,Carcinoma in situ of other and unspecified digestive organs
icd10,D02,Carcinoma in situ of middle ear and respiratory system
icd10,D03,Melanoma in situ
icd10,D04,Carcinoma in situ of skin
icd10,D05,Carcinoma in situ of breast
icd10,D06,Carcinoma in situ of cervix uteri
icd10,D07,Carcinoma in situ of other and unspecified genital organs
icd10,D09,Carcinoma in situ of other and unspecified sites
icd10,D10,Benign neoplasm of mouth and pharynx
icd10,D11,Benign neoplasm of major salivary glands
icd10,D12,"Benign neoplasm of colon, rectum, anus and anal canal"
icd10,D13,Benign neoplasm of other and ill-defined parts of digestive system
icd10,D14,Benign neoplasm of middle ear and respiratory system
icd10,D15,Benign neoplasm of other and unspecified intrathoracic organs
icd10,D16,Benign neoplasm of bone and articular cartilage
icd10,D17,Benign lipomatous neoplasm
icd10,D18,"Haemangioma and lymphangioma, any site"
icd10,D19,Benign neoplasm of mesothelial tissue
icd10,D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
icd10,D21,Other benign neoplasms of connective and other soft tissue
icd10,D22,Melanocytic naevi
icd10,D23,Other benign neoplasms of skin
icd10,D24,Benign neoplasm of breast
icd10,D25,Leiomyoma of uterus
icd10,D26,Other benign neoplasms of uterus
icd10,D27,Benign neoplasm of ovary
icd10,D28,Benign neoplasm of other and unspecified female genital organs
icd10,D29,Benign neoplasm of male genital organs
icd10,D30,Benign neoplasm of urinary organs
icd10,D31,Benign neoplasm of eye and adnexa
icd10,D32,Benign neoplasm of meninges
icd10,D33,Benign neoplasm of brain and other parts of central nervous system
icd10,D34,Benign neoplasm of thyroid gland
icd10,D35,Benign neoplasm of other and unspecified endocrine glands
icd10,D36,Benign neoplasm of other and unspecified sites
icd10,D37,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs
icd10,D38,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs
icd10,D39,Neoplasm of uncertain or unknown behaviour of female genital organs
icd10,D40,Neoplasm of uncertain or unknown behaviour of male genital organs
icd10,D41,Neoplasm of uncertain or unknown behaviour of urinary organs
icd10,D42,Neoplasm of uncertain or unknown behaviour of meninges
icd10,D43,Neoplasm of uncertain or unknown behaviour of brain and central nervous system
icd10,D44,Neoplasm of uncertain or unknown behaviour of endocrine glands
icd10,D45,Polycythaemia vera
icd10,D46,Myelodysplastic syndromes
icd10,D47,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue"
icd10,D48,Neoplasm of uncertain or unknown behaviour of other and unspecified sites
icd10,D50,Iron deficiency anaemia
icd10,D51,Vitamin B12 deficiency anaemia
icd10,D52,Folate deficiency anaemia
icd10,D53,Other nutritional anaemias
icd10,D55,Anaemia due to enzyme disorders
icd10,D56,Thalassaemia
icd10,D57,Sickle-cell disorders
icd10,D58,Other hereditary haemolytic anaemias
icd10,D59,Acquired haemolytic anaemia
icd10,D60,Acquired pure red cell aplasia [erythroblastopenia]
icd10,D61,Other aplastic anaemias
icd10,D62,Acute posthaemorrhagic anaemia
icd10,D63,Anaemia in chronic diseases classified elsewhere
icd10,D64,Other anaemias
icd10,D65,Disseminated intravascular coagulation [defibrination syndrome]
icd10,D66,Hereditary factor VIII deficiency
icd10,D67,Hereditary factor IX deficiency
icd10,D68,Other coagulation defects
icd10,D69,Purpura and other haemorrhagic conditions
icd10,D70,Agranulocytosis
icd10,D71,Functional disorders of polymorphonuclear neutrophils
icd10,D72,Other disorders of white blood cells
icd10,D73,Diseases of spleen
icd10,D74,Methaemoglobinaemia
icd10,D75,Other diseases of blood and blood-forming organs
icd10,D76,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue
icd10,D77,Other disorders of blood and blood-forming organs in diseases classified elsewhere
icd10,D80,Immunodeficiency with predominantly antibody defects
icd10,D81,Combined immunodeficiencies
icd10,D82,Immunodeficiency associated with other major defects
icd10,D83,Common variable immunodeficiency
icd10,D84,Other immunodeficiencies
icd10,D86,Sarcoidosis
icd10,D89,"Other disorders involving the immune mechanism, not elsewhere classified"
icd10,E00,Congenital iodine-deficiency syndrome
icd10,E01,Iodine-deficiency-related thyroid disorders and allied conditions
icd10,E02,Subclinical iodine-deficiency hypothyroidism
icd10,E03,Other hypothyroidism
icd10,E04,Other nontoxic goitre
icd10,E05,Thyrotoxicosis [hyperthyroidism]
icd10,E06,Thyroiditis
icd10,E07,Other disorders of thyroid
icd10,E10,Type 1 diabetes mellitus
icd10,E11,Type 2 diabetes mellitus
icd10,E12,Malnutrition-related diabetes mellitus
icd10,E13,Other specified diabetes mellitus
icd10,E14,Unspecified diabetes mellitus
icd10,E15,Nondiabetic hypoglycaemic coma
icd10,E16,Other disorders of pancreatic internal secretion
icd10,E20,Hypoparathyroidism
icd10,E21,Hyperparathyroidism and other disorders of parathyroid gland
icd10,E22,Hyperfunction of pituitary gland
icd10,E23,Hypofunction and other disorders of pituitary gland
icd10,E24,Cushing syndrome
icd10,E25,Adrenogenital disorders
icd10,E26,Hyperaldosteronism
icd10,E27,Other disorders of adrenal gland
icd10,E28,Ovarian dysfunction
icd10,E29,Testicular dysfunction
icd10,E30,"Disorders of puberty, not elsewhere classified"
icd10,E31,Polyglandular dysfunction
icd10,E32,Diseases of thymus
icd10,E34,Other endocrine disorders
icd10,E35,Disorders of endocrine glands in diseases classified elsewhere
icd10,E40,Kwashiorkor
icd10,E41,Nutritional marasmus
icd10,E42,Marasmic kwashiorkor
icd10,E43,Unspecified severe protein-energy malnutrition
icd10,E44,Protein-energy malnutrition of moderate and mild degree
icd10,E45,Retarded development following protein-energy malnutrition
icd10,E46,Unspecified protein-energy malnutrition
icd10,E50,Vitamin A deficiency
icd10,E51,Thiamine deficiency
icd10,E52,Niacin deficiency [pellagra]
icd10,E53,Deficiency of other B group vitamins
icd10,E54,Ascorbic acid deficiency
icd10,E55,Vitamin D deficiency
icd10,E56,Other vitamin deficiencies
icd10,E58,Dietary calcium deficiency
icd10,E59,Dietary selenium deficiency
icd10,E60,Dietary zinc deficiency
icd10,E61,Deficiency of other nutrient elements
icd10,E63,Other nutritional deficiencies
icd10,E64,Sequelae of malnutrition and other nutritional deficiencies
icd10,E65,Localized adiposity
icd10,E66,Obesity
icd10,E67,Other hyperalimentation
icd10,E68,Sequelae of hyperalimentation
icd10,E70,Disorders of aromatic amino-acid metabolism
icd10,E71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism
icd10,E72,Other disorders of amino-acid metabolism
icd10,E73,Lactose intolerance
icd10,E74,Other disorders of carbohydrate metabolism
icd10,E75,Disorders of sphingolipid metabolism and other lipid storage disorders
icd10,E76,Disorders of glycosaminoglycan metabolism
icd10,E77,Disorders of glycoprotein metabolism
icd10,E78,Disorders of lipoprotein metabolism and other lipidaemias
icd10,E79,Disorders of purine and pyrimidine metabolism
icd10,E80,Disorders of porphyrin and bilirubin metabolism
icd10,E83,Disorders of mineral metabolism
icd10,E84,Cystic fibrosis
icd10,E85,Amyloidosis
icd10,E86,Volume depletion
icd10,E87,"Other disorders of fluid, electrolyte and acid-base balance"
icd10,E88,Other metabolic disorders
icd10,E89,"Postprocedural endocrine and metabolic disorders, not elsewhere classified"
icd10,E90,Nutritional and metabolic disorders in diseases classified elsewhere
icd10,F00,Dementia in Alzheimer disease
icd10,F01,Vascular dementia
icd10,F02,Dementia in other diseases classified elsewhere
icd10,F03,Unspecified dementia
icd10,F04,"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances"
icd10,F05,"Delirium, not induced by alcohol and other psychoactive substances"
icd10,F06,Other mental disorders due to brain damage and dysfunction and to physical disease
icd10,F07,"Personality and behavioural disorders due to brain disease, damage and dysfunction"
icd10,F09,Unspecified organic or symptomatic mental disorder
icd10,F10,Mental and behavioural disorders due to use of alcohol
icd10,F11,Mental and behavioural disorders due to use of opioids
icd10,F12,Mental and behavioural disorders due to use of cannabinoids
icd10,F13,Mental and behavioural disorders due to use of sedatives or hypnotics
icd10,F14,Mental and behavioural disorders due to use of cocaine
icd10,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine"
icd10,F16,Mental and behavioural disorders due to use of hallucinogens
icd10,F17,Mental and behavioural disorders due to use of tobacco
icd10,F18,Mental and behavioural disorders due to use of volatile solvents
icd10,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances
icd10,F20,Schizophrenia
icd10,F21,Schizotypal disorder
icd10,F22,Persistent delusional disorders
icd10,F23,Acute and transient psychotic disorders
icd10,F24,Induced delusional disorder
icd10,F25,Schizoaffective disorders
icd10,F28,Other nonorganic psychotic disorders
icd10,F29,Unspecified nonorganic psychosis
icd10,F30,Manic episode
icd10,F31,Bipolar affective disorder
icd10,F32,Depressive episode
icd10,F33,Recurrent depressive disorder
icd10,F34,Persistent mood [affective] disorders
icd10,F38,Other mood [affective] disorders
icd10,F39,Unspecified mood [affective] disorder
icd10,F40,Phobic anxiety disorders
icd10,F41,Other anxiety disorders
icd10,F42,Obsessive-compulsive disorder
icd10,F43,"Reaction to severe stress, and adjustment disorders"
icd10,F44,Dissociative [conversion] disorders
icd10,F45,Somatoform disorders
icd10,F48,Other neurotic disorders
icd10,F50,Eating disorders
icd10,F51,Nonorganic sleep disorders
icd10,F52,"Sexual dysfunction, not caused by organic disorder or disease"
icd10,F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified"
icd10,F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere
icd10,F55,Abuse of non-dependence-producing substances
icd10,F59,Unspecified behavioural syndromes associated with physiological disturbances and physical factors
icd10,F60,Specific personality disorders
icd10,F61,Mixed and other personality disorders
icd10,F62,"Enduring personality changes, not attributable to brain damage and disease"
icd10,F63,Habit and impulse disorders
icd10,F64,Gender identity disorders
icd10,F65,Disorders of sexual preference
icd10,F66,Psychological and behavioural disorders associated with sexual development and orientation
icd10,F68,Other disorders of adult personality and behaviour
icd10,F69,Unspecified disorder of adult personality and behaviour
icd10,F70,Mild mental retardation
icd10,F71,Moderate mental retardation
icd10,F72,Severe mental retardation
icd10,F73,Profound mental retardation
icd10,F78,Other mental retardation
icd10,F79,Unspecified mental retardation
icd10,F80,Specific developmental disorders of speech and language
icd10,F81,Specific developmental disorders of scholastic skills
icd10,F82,Specific developmental disorder of motor function
icd10,F83,Mixed specific developmental disorders
icd10,F84,Pervasive developmental disorders
icd10,F88,Other disorders of psychological development
icd10,F89,Unspecified disorder of psychological development
icd10,F90,Hyperkinetic disorders
icd10,F91,Conduct disorders
icd10,F92,Mixed disorders of conduct and emotions
icd10,F93,Emotional disorders with onset specific to childhood
icd10,F94,Disorders of social functioning with onset specific to childhood and adolescence
icd10,F95,Tic disorders
icd10,F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence
icd10,F99,"Mental disorder, not otherwise specified"
icd10,G00,"Bacterial meningitis, not elsewhere classified"
icd10,G01,Meningitis in bacterial diseases classified elsewhere
icd10,G02,Meningitis in other infectious and parasitic diseases classified elsewhere
icd10,G03,Meningitis due to other and unspecified causes
icd10,G04,"Encephalitis, myelitis and encephalomyelitis"
icd10,G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere"
icd10,G06,Intracranial and intraspinal abscess and granuloma
icd10,G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
icd10,G08,Intracranial and intraspinal phlebitis and thrombophlebitis
icd10,G09,Sequelae of inflammatory diseases of central nervous system
icd10,G10,Huntington disease
icd10,G11,Hereditary ataxia
icd10,G12,Spinal muscular atrophy and related syndromes
icd10,G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere
icd10,G14,Postpolio syndrome
icd10,G20,Parkinson disease
icd10,G21,Secondary parkinsonism
icd10,G22,Parkinsonism in diseases classified elsewhere
icd10,G23,Other degenerative diseases of basal ganglia
icd10,G24,Dystonia
icd10,G25,Other extrapyramidal and movement disorders
icd10,G26,Extrapyramidal and movement disorders in diseases classified elsewhere
icd10,G30,Alzheimer disease
icd10,G31,"Other degenerative diseases of nervous system, not elsewhere classified"
icd10,G32,Other degenerative disorders of nervous system in diseases classified elsewhere
icd10,G35,Multiple sclerosis
icd10,G36,Other acute disseminated demyelination
icd10,G37,Other demyelinating diseases of central nervous system
icd10,G40,Epilepsy
icd10,G41,Status epilepticus
icd10,G43,Migraine
icd10,G44,Other headache syndromes
icd10,G45,Transient cerebral ischaemic attacks and related syndromes
icd10,G46,Vascular syndromes of brain in cerebrovascular diseases
icd10,G47,Sleep disorders
icd10,G50,Disorders of trigeminal nerve
icd10,G51,Facial nerve disorders
icd10,G52,Disorders of other cranial nerves
icd10,G53,Cranial nerve disorders in diseases classified elsewhere
icd10,G54,Nerve root and plexus disorders
icd10,G55,Nerve root and plexus compressions in diseases classified elsewhere
icd10,G56,Mononeuropathies of upper limb
icd10,G57,Mononeuropathies of lower limb
icd10,G58,Other mononeuropathies
icd10,G59,Mononeuropathy in diseases classified elsewhere
icd10,G60,Hereditary and idiopathic neuropathy
icd10,G61,Inflammatory polyneuropathy
icd10,G62,Other polyneuropathies
icd10,G63,Polyneuropathy in diseases classified elsewhere
icd10,G64,Other disorders of peripheral nervous system
icd10,G70,Myasthenia gravis and other myoneural disorders
icd10,G71,Primary disorders of muscles
icd10,G72,Other myopathies
icd10,G73,Disorders of myoneural junction and muscle in diseases classified elsewhere
icd10,G80,Cerebral palsy
icd10,G81,Hemiplegia
icd10,G82,Paraplegia and tetraplegia
icd10,G83,Other paralytic syndromes
icd10,G90,Disorders of autonomic nervous system
icd10,G91,Hydrocephalus
icd10,G92,Toxic encephalopathy
icd10,G93,Other disorders of brain
icd10,G94,Other disorders of brain in diseases classified elsewhere
icd10,G95,Other diseases of spinal cord
icd10,G96,Other disorders of central nervous system
icd10,G97,"Postprocedural disorders of nervous system, not elsewhere classified"
icd10,G98,"Other disorders of nervous system, not elsewhere classified"
icd10,G99,Other disorders of nervous system in diseases classified elsewhere
icd10,H00,Hordeolum and chalazion
icd10,H01,Other inflammation of eyelid
icd10,H02,Other disorders of eyelid
icd10,H03,Disorders of eyelid in diseases classified elsewhere
icd10,H04,Disorders of lacrimal system
icd10,H05,Disorders of orbit
icd10,H06,Disorders of lacrimal system and orbit in diseases classified elsewhere
icd10,H10,Conjunctivitis
icd10,H11,Other disorders of conjunctiva
icd10,H13,Disorders of conjunctiva in diseases classified elsewhere
icd10,H15,Disorders of sclera
icd10,H16,Keratitis
icd10,H17,Corneal scars and opacities
icd10,H18,Other disorders of cornea
icd10,H19,Disorders of sclera and cornea in diseases classified elsewhere
icd10,H20,Iridocyclitis
icd10,H21,Other disorders of iris and ciliary body
icd10,H22,Disorders of iris and ciliary body in diseases classified elsewhere
icd10,H25,Senile cataract
icd10,H26,Other cataract
icd10,H27,Other disorders of lens
icd10,H28,Cataract and other disorders of lens in diseases classified elsewhere
icd10,H30,Chorioretinal inflammation
icd10,H31,Other disorders of choroid
icd10,H32,Chorioretinal disorders in diseases classified elsewhere
icd10,H33,Retinal detachments and breaks
icd10,H34,Retinal vascular occlusions
icd10,H35,Other retinal disorders
icd10,H36,Retinal disorders in diseases classified elsewhere
icd10,H40,Glaucoma
icd10,H42,Glaucoma in diseases classified elsewhere
icd10,H43,Disorders of vitreous body
icd10,H44,Disorders of globe
icd10,H45,Disorders of vitreous body and globe in diseases classified elsewhere
icd10,H46,Optic neuritis
icd10,H47,Other disorders of optic [2nd] nerve and visual pathways
icd10,H48,Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere
icd10,H49,Paralytic strabismus
icd10,H50,Other strabismus
icd10,H51,Other disorders of binocular movement
icd10,H52,Disorders of refraction and accommodation
icd10,H53,Visual disturbances
icd10,H54,Visual impairment including blindness (binocular or monocular)
icd10,H55,Nystagmus and other irregular eye movements
icd10,H57,Other disorders of eye and adnexa
icd10,H58,Other disorders of eye and adnexa in diseases classified elsewhere
icd10,H59,"Postprocedural disorders of eye and adnexa, not elsewhere classified"
icd10,H60,Otitis externa
icd10,H61,Other disorders of external ear
icd10,H62,Disorders of external ear in diseases classified elsewhere
icd10,H65,Nonsuppurative otitis media
icd10,H66,Suppurative and unspecified otitis media
icd10,H67,Otitis media in diseases classified elsewhere
icd10,H68,Eustachian salpingitis and obstruction
icd10,H69,Other disorders of Eustachian tube
icd10,H70,Mastoiditis and related conditions
icd10,H71,Cholesteatoma of middle ear
icd10,H72,Perforation of tympanic membrane
icd10,H73,Other disorders of tympanic membrane
icd10,H74,Other disorders of middle ear and mastoid
